RMM,C0/Si1,C/L,Si,Methyl,C,H,O,F,N,Cl,Br,Ben,C=C,H-,C=O,C-O,0,1
322.62,0,1,3,9,12,30,4,0,0,0,0,0,0,1,1,3,4.6220136,0.32844257
350.63,0,1,3,10,13,30,5,0,0,0,0,0,0,0,2,3,4.5760126,0.14403892
336.65,0,1,3,10,13,32,4,0,0,0,0,0,0,1,1,3,4.858812,0.3507353
410.8,0,1,4,12,15,38,5,0,0,0,0,0,0,0,1,4,5.0498524,0.09063792
335.62,0,1,3,9,12,29,4,0,1,0,0,0,0,0,2,2,3.6555898,-1.9804512
220.29,0,1,1,5,8,16,5,0,0,0,0,0,0,0,2,3,1.0383914,-1.9283001
248.42,0,1,2,6,9,20,4,0,0,0,0,0,0,0,2,2,2.689044,-1.1998479
316.54,0,0,2,6,14,28,4,0,0,0,0,0,0,0,2,2,4.044974,-2.2696006
308.64,0,1,3,9,12,32,3,0,0,0,0,0,0,0,0,3,4.789035,0.40462446
220.46,0,1,2,7,9,24,2,0,0,0,0,0,0,1,0,2,4.188308,0.17742348
304.61,0,1,2,11,15,36,2,0,0,0,0,0,0,0,0,2,5.98401,0.7890011
322.66,0,1,3,10,13,34,3,0,0,0,0,0,0,2,0,3,5.043798,0.40402544
434.9,0,1,3,15,21,50,3,0,0,0,0,0,0,0,0,3,8.243711,1.2410445
234.48,0,1,2,8,10,26,2,0,0,0,0,0,0,2,0,2,4.554042,0.47988904
292.64,0,1,3,9,12,32,2,0,0,0,0,0,0,1,0,2,5.4302454,0.8381803
250.48,0,1,2,10,10,26,3,0,0,0,0,0,0,1,0,3,3.5982852,-0.7449918
294.61,0,1,3,9,11,30,3,0,0,0,0,0,0,1,0,2,4.976319,0.6701417
402.8,0,1,2,8,22,50,2,0,0,0,0,0,0,0,0,2,9.714374,2.0219874
290.59,0,1,2,7,14,34,2,0,0,0,0,0,0,1,0,2,5.5874114,0.72466207
276.56,0,1,2,8,13,32,2,0,0,0,0,0,0,1,0,2,5.3089905,0.66058767
276.56,0,1,2,8,13,32,2,0,0,0,0,0,0,2,0,2,5.306953,0.6286944
434.9,0,1,3,9,21,50,3,0,0,0,0,0,0,0,0,3,8.796801,1.4515854
561.1,0,1,3,9,30,68,3,0,0,0,0,0,0,0,0,3,11.86626,1.5703536
304.61,0,1,2,9,15,36,2,0,0,0,0,0,0,0,0,2,5.958632,0.7827587
322.66,0,1,3,11,13,34,3,0,0,0,0,0,0,1,0,3,5.094848,0.47266853
336.69,0,1,3,10,14,36,3,0,0,0,0,0,0,2,0,3,5.2992477,0.4688276
418.66,0,1,3,9,13,34,9,0,0,0,0,0,0,1,0,9,0.81235266,-6.583027
350.63,0,1,3,9,13,30,5,0,0,0,0,0,0,1,2,3,4.5457935,0.21711838
349.64,0,1,3,9,13,31,4,0,1,0,0,0,0,1,2,2,3.8985329,-1.8386518
265.49,0,1,3,3,7,19,4,0,1,0,0,0,0,6,2,2,1.3391445,-2.1533072
336.65,0,1,3,9,13,32,4,0,0,0,0,0,0,1,1,3,4.8346567,0.32041562
438.8,0,1,4,12,16,38,6,0,0,0,0,0,0,1,2,4,5.4895506,-0.11606562
321.63,0,1,3,9,12,31,3,0,1,0,0,0,0,1,1,2,4.064944,-0.8456837
350.67,0,1,3,10,14,34,4,0,0,0,0,0,0,2,1,3,5.132584,0.34025145
336.65,0,1,3,9,13,32,4,0,0,0,0,0,0,1,1,3,4.8346567,0.32041562
424.8,0,1,4,12,16,40,5,0,0,0,0,0,0,1,1,4,5.424391,0.111759424
278.49,0,1,2,7,11,26,4,0,0,0,0,0,0,0,1,3,3.0986366,-1.436839
334.68,0,1,3,9,13,34,2,0,2,0,0,0,0,0,1,1,3.9035172,-2.043215
320.57,0,1,2,9,14,32,4,0,0,0,0,0,0,0,1,3,4.337194,-0.34970748
362.64,0,1,3,9,14,30,5,0,0,0,0,0,1,1,2,3,4.841908,0.18688273
260.48,0,1,2,7,11,24,3,0,0,0,0,0,1,1,1,2,4.4626765,0.62071574
376.67,0,1,3,9,15,32,5,0,0,0,0,0,1,1,2,3,5.2292767,0.007816672
274.5,0,1,2,8,12,26,3,0,0,0,0,0,1,1,1,2,4.6799226,0.585003
274.5,0,1,2,7,12,26,3,0,0,0,0,0,1,1,1,2,4.6614647,0.5751629
488.9,0,1,3,15,23,48,5,0,0,0,0,0,1,0,2,3,8.501087,0.52686346
342.65,0,0,3,9,15,30,3,0,0,0,0,1,0,0,0,3,7.004775,0.100091815
254.47,0,0,2,6,12,22,2,0,0,0,0,1,0,0,0,2,5.946741,0.31126928
468.9,0,0,3,15,24,48,3,0,0,0,0,1,0,0,0,3,9.8219185,0.9668047
270.47,0,0,2,6,12,22,3,0,0,0,0,1,0,1,0,3,4.324358,-3.262226
240.37,0,0,1,5,12,20,3,0,0,0,0,1,0,2,0,3,3.659154,-5.6577196
338.6,0,0,2,10,18,34,2,0,0,0,0,1,0,0,0,2,7.7092648,0.45303476
240.44,1,1,2,5,11,20,2,0,0,0,0,1,0,0,0,1,4.857126,0.09201479
430.8,0,0,4,12,18,38,4,0,0,0,0,1,0,0,0,4,7.5453362,0.075134754
278.49,0,0,2,4,14,22,2,0,0,0,0,1,2,0,0,2,6.358256,-0.106567025
763.4,0,0,3,9,45,90,3,0,0,0,0,1,0,0,0,3,14.59531,1.0773976
198.29,0,0,1,3,9,14,3,0,0,0,0,1,0,2,0,3,2.9613006,-6.0489893
354.6,0,0,2,6,18,34,3,0,0,0,0,1,0,1,0,3,7.555609,-1.5434192
226.42,0,0,2,4,10,18,2,0,0,0,0,1,0,2,0,2,4.8894234,0.14095259
326.5,0,0,2,0,18,22,2,0,0,0,0,1,6,0,0,2,7.6475997,-0.48270035
450.7,0,0,3,0,24,30,3,0,0,0,0,1,9,0,0,3,9.49476,-0.19575942
378.7,0,0,3,6,18,30,3,0,0,0,0,1,3,0,0,3,7.755967,-0.05463946
358.73,0,0,4,8,14,30,3,0,0,0,0,1,0,4,0,4,6.96862,0.63817155
278.49,0,0,2,4,14,22,2,0,0,0,0,1,2,4,0,2,6.419978,-0.49582887
196.32,0,0,1,3,10,16,2,0,0,0,0,1,0,2,0,2,3.642149,-5.243326
224.37,0,0,1,3,12,20,2,0,0,0,0,1,0,2,0,2,4.1903024,-5.295828
252.42,0,0,1,3,14,24,2,0,0,0,0,1,0,2,0,2,4.9856453,-5.397702
396.7,0,0,3,9,18,32,4,0,0,0,0,1,1,0,1,3,7.2200613,-0.20830321
308.52,0,0,2,6,15,24,3,0,0,0,0,1,1,0,1,2,6.2951794,-0.6067257
398.7,0,0,3,9,18,34,4,0,0,0,0,1,0,0,1,3,7.2251005,-0.123472095
412.7,0,0,3,9,19,36,4,0,0,0,0,1,0,0,1,3,7.554573,0.009231091
392.6,0,0,2,8,20,32,4,0,0,0,0,1,2,0,1,3,7.0959425,-0.611171
428.7,0,0,2,6,23,32,4,0,0,0,0,2,1,0,1,3,7.8606024,-1.9848304
426.7,0,0,3,10,19,34,5,0,0,0,0,1,1,0,1,4,6.866959,-0.5108528
484.9,0,0,4,12,21,40,5,0,0,0,0,1,1,0,1,4,7.7180853,-0.007203698
338.54,0,0,2,7,16,26,4,0,0,0,0,1,1,0,1,3,5.9692755,-0.8927225
392.7,0,0,2,10,21,36,3,0,0,0,0,1,1,0,1,2,7.9586916,-0.0029640198
522.9,0,0,3,15,27,50,4,0,0,0,0,1,1,0,1,3,10.570061,0.06288779
352.7,0,0,2,11,19,36,2,0,0,0,0,1,0,0,0,2,8.054669,0.62937033
408.7,0,0,2,10,21,36,4,0,0,0,0,1,1,1,1,3,7.293171,-0.60805964
427.1,0,0,2,10,21,35,3,0,0,1,0,1,1,0,1,2,7.7729654,-0.39396036
524.8,0,0,2,11,30,44,4,0,0,0,0,2,2,0,1,3,10.199225,-1.1960249
538.9,0,0,3,15,27,50,5,0,0,0,0,1,1,1,1,4,10.209109,-1.9883691
422.7,0,0,2,11,22,38,4,0,0,0,0,1,1,0,1,3,7.7548275,-0.21401095
364.7,0,0,2,10,20,36,2,0,0,0,0,1,1,0,0,2,8.475625,0.5349977
352.6,0,0,2,7,17,28,4,0,0,0,0,1,1,0,1,3,6.282578,-0.87478745
392.7,0,0,2,10,21,36,3,0,0,0,0,1,1,0,1,2,7.9586916,-0.0029640198
396.7,0,0,3,9,18,32,4,0,0,0,0,1,1,0,1,3,7.2200613,-0.20830321
484.9,0,0,4,12,21,40,5,0,0,0,0,1,1,0,1,4,7.7180853,-0.007203698
364.7,0,0,2,6,20,36,2,0,0,0,0,1,1,0,0,2,8.502973,0.3573711
308.56,0,0,2,7,16,28,2,0,0,0,0,1,1,0,0,2,6.99634,-0.03859806
414.7,0,0,3,10,18,34,5,0,0,0,0,1,0,0,1,4,6.620587,-0.66130686
268.38,0,0,1,5,13,20,4,0,0,0,0,1,0,0,1,3,3.4893107,-2.5754492
428.7,0,0,3,10,19,36,5,0,0,0,0,1,0,0,1,4,6.7731085,-0.65247345
340.56,0,0,2,7,16,28,4,0,0,0,0,1,0,0,1,3,5.928264,-0.8756851
555.0,0,1,5,15,21,50,7,0,0,0,0,0,0,0,2,5,6.6044283,-0.40366817
629.2,0,1,6,18,24,60,7,0,0,0,0,0,0,0,1,6,8.175247,0.18331897
541.1,0,1,5,15,21,52,6,0,0,0,0,0,0,0,1,5,7.5409155,-0.03435123
452.9,0,1,4,12,18,44,5,0,0,0,0,0,0,0,1,4,6.5178714,-0.19323277
585.1,0,1,5,15,22,52,8,0,0,0,0,0,0,0,2,6,6.2966347,-0.72510946
643.2,0,1,6,18,24,58,8,0,0,0,0,0,0,0,2,6,7.060109,-0.20574439
392.67,0,0,3,9,15,32,6,0,0,0,0,0,0,0,2,3,4.1572304,-2.1041405
765.4,0,1,5,12,36,80,7,0,0,0,0,0,0,0,2,5,11.986224,0.029597998
571.1,0,1,5,16,22,54,7,0,0,0,0,0,0,0,1,6,6.9482803,-1.0266184
482.9,0,1,4,13,19,46,6,0,0,0,0,0,0,0,1,5,5.428917,-1.6047113
919.7,0,0,8,24,36,86,11,0,0,0,0,0,0,0,0,11,9.813025,-5.8844438
482.9,0,0,4,13,19,46,6,0,0,0,0,0,0,0,0,6,5.112884,-3.2233896
366.6,0,0,2,9,15,34,6,0,0,0,0,0,0,0,0,6,2.7168608,-5.639309
424.8,0,0,3,11,17,40,6,0,0,0,0,0,0,0,0,6,3.7485108,-4.6608887
993.9,0,0,9,27,39,96,11,0,0,0,0,0,0,0,0,11,11.153828,-4.5770745
1372.6,0,0,12,36,54,130,16,0,0,0,0,0,0,0,0,16,11.964937,-7.1756163
378.68,0,0,3,9,15,34,5,0,0,0,0,0,0,0,0,5,3.777768,-3.7246203
496.9,0,0,4,13,20,48,6,0,0,0,0,0,0,0,0,6,5.3393745,-3.3677113
454.8,0,0,3,12,18,42,7,0,0,0,0,0,0,0,0,7,3.270064,-5.3346534
687.3,0,0,6,18,27,66,8,0,0,0,0,0,0,0,0,8,7.9244914,-3.854786
394.72,0,0,3,11,16,38,5,0,0,0,0,0,0,0,0,5,4.2883143,-3.221808
831.6,0,0,7,22,33,78,10,0,0,0,0,0,0,0,0,10,9.191295,-5.8364387
743.4,0,0,6,20,30,70,9,0,0,0,0,0,0,0,0,9,8.418263,-5.470099
1677.1,0,0,14,42,66,154,21,0,0,0,0,0,0,0,0,21,6.6434436,-10.842941
1298.4,0,0,11,33,51,120,16,0,0,0,0,0,0,0,0,16,10.343537,-8.062452
1008.0,0,0,9,27,40,98,11,0,0,0,0,0,0,0,0,11,11.39496,-4.4652514
965.9,0,0,9,27,37,92,11,0,0,0,0,0,0,0,0,11,10.651585,-4.496395
819.5,0,0,4,25,43,94,6,0,0,0,0,0,0,0,0,6,14.173573,-0.8778684
585.1,0,0,5,15,23,56,7,0,0,0,0,0,0,0,0,7,6.0379243,-3.435657
438.9,0,0,4,12,17,42,5,0,0,0,0,0,0,0,0,5,5.5175657,-1.9034379
282.48,0,0,2,6,13,22,3,0,0,0,0,1,0,0,1,2,5.4427633,-0.03262925
370.66,0,0,3,9,16,30,4,0,0,0,0,1,0,0,1,3,6.7032843,-0.23547398
224.33,0,0,1,4,11,16,3,0,0,0,0,1,0,0,1,2,3.5921278,-1.7527567
366.6,0,0,2,10,19,34,3,0,0,0,0,1,0,0,1,2,7.0951657,-0.20652223
496.9,0,0,3,15,25,48,4,0,0,0,0,1,0,0,1,3,9.899757,0.3995837
296.51,0,0,2,7,14,24,3,0,0,0,0,1,0,0,1,2,6.0871644,-0.1537453
252.38,0,0,1,5,13,20,3,0,0,0,0,1,0,1,1,2,4.0525265,-2.3171954
208.33,0,0,1,4,11,16,2,0,0,0,0,1,0,0,1,1,4.105908,-1.4370625
236.38,0,0,1,4,13,20,2,0,0,0,0,1,0,0,1,1,4.4891543,-1.6974639
250.41,0,0,1,4,14,22,2,0,0,0,0,1,0,0,1,1,4.8467913,-1.8976818
222.35,0,0,1,4,12,18,2,0,0,0,0,1,0,0,1,1,4.2563577,-1.5805839
224.33,0,0,1,4,11,16,3,0,0,0,0,1,0,0,1,2,3.5921278,-1.7527567
278.46,0,0,1,6,16,26,2,0,0,0,0,1,0,0,1,1,5.9279494,-1.1551999
266.41,0,0,1,6,14,22,3,0,0,0,0,1,0,0,1,2,4.7016954,-0.9684842
252.38,0,0,1,5,13,20,3,0,0,0,0,1,0,1,1,2,4.0525265,-2.3171954
210.26,1,0,1,2,9,10,4,0,0,0,0,1,0,0,1,3,1.4115546,-2.034278
179.22,1,0,1,1,8,7,3,0,0,0,0,1,0,0,1,2,1.5883508,-1.9972669
194.26,1,0,1,2,9,10,3,0,0,0,0,1,0,0,1,2,1.9161665,-1.940286
256.33,1,0,1,1,14,12,3,0,0,0,0,2,0,0,1,2,2.8672626,-2.5352144
224.28,1,0,1,2,10,12,4,0,0,0,0,1,0,0,1,3,1.6284215,-2.028799
236.34,0,0,1,4,12,16,3,0,0,0,0,1,0,0,2,1,3.1422412,-3.365587
210.3,0,0,1,3,10,14,3,0,0,0,0,1,0,1,1,2,3.099361,-2.7752845
256.33,0,0,1,4,11,16,5,0,0,0,0,1,0,0,1,4,2.434214,-3.7773209
298.48,0,0,2,6,13,22,4,0,0,0,0,1,0,0,1,3,4.581926,-0.5468266
300.45,0,0,2,6,12,20,5,0,0,0,0,0,2,0,2,4,2.6936784,-1.626684
316.58,0,1,2,10,15,32,3,0,0,0,0,0,1,0,1,2,5.4589295,0.51174295
232.42,0,1,2,6,9,20,3,0,0,0,0,0,1,0,1,2,4.0011325,0.46969485
334.57,0,1,2,10,15,31,3,1,0,0,0,0,1,0,1,2,5.435201,0.5105449
250.41,0,1,2,6,9,19,3,1,0,0,0,0,1,0,1,2,4.063957,0.61480594
316.58,1,1,2,7,15,32,3,0,0,0,0,0,1,0,1,1,6.5624485,-0.30608582
320.6,0,1,3,9,12,28,4,0,0,0,0,0,1,0,1,3,4.596015,0.551504
248.42,0,1,2,6,9,20,4,0,0,0,0,0,0,1,1,3,2.2986355,-1.7812078
457.9,0,0,4,12,20,43,3,0,1,0,0,1,0,0,0,3,7.691661,-0.5881237
369.7,0,0,3,9,17,35,2,0,1,0,0,1,0,0,0,2,6.3547525,-1.3369446
471.9,0,0,4,12,21,45,3,0,1,0,0,1,0,0,0,3,7.907315,-0.5223416
413.8,0,0,3,11,19,39,3,0,1,0,0,1,0,0,0,3,6.2400985,-2.2038186
530.1,0,0,5,15,23,51,3,0,1,0,0,1,0,0,0,3,9.05455,0.4062016
441.9,0,0,4,12,20,43,2,0,1,0,0,1,0,0,0,2,8.437817,0.21228325
369.7,0,0,3,9,17,35,2,0,1,0,0,1,0,0,0,2,6.3547525,-1.3369446
427.8,0,0,3,11,20,41,3,0,1,0,0,1,0,0,0,3,6.596613,-2.1296287
399.7,0,0,3,10,18,37,3,0,1,0,0,1,0,0,0,3,6.007004,-2.4746108
381.7,0,0,2,10,20,39,2,0,1,0,0,1,0,0,0,2,6.855252,-1.4775817
297.54,0,0,2,6,14,27,2,0,1,0,0,1,0,0,0,2,5.2978845,-2.7333848
397.7,0,0,2,10,20,39,3,0,1,0,0,1,0,1,0,3,6.328666,-4.497479
626.2,0,0,4,20,32,67,3,0,1,0,0,1,0,0,0,3,12.09456,0.021708727
496.0,0,0,3,15,26,53,2,0,1,0,0,1,0,0,0,2,10.523784,0.13313842
209.32,0,0,1,3,10,15,2,0,1,0,0,1,0,0,1,1,3.5108266,-3.7916574
