RMM,C0/Si1,C/L,Si,Methyl,C,H,O,F,N,Cl,Br,Ben,C=C,H-,C=O,C-O,0,1,0,1,2
322.62,0,1,3,9,12,30,4,0,0,0,0,0,0,1,1,3,4.6220136,0.32844257,0.9638819,3.5474067,0.36868823
350.63,0,1,3,10,13,30,5,0,0,0,0,0,0,0,2,3,4.5760126,0.14403892,1.5406331,0.6009991,5.403204
336.65,0,1,3,10,13,32,4,0,0,0,0,0,0,1,1,3,4.858812,0.3507353,0.9400118,3.4158669,0.10261154
410.8,0,1,4,12,15,38,5,0,0,0,0,0,0,0,1,4,5.0498524,0.09063792,1.0027407,3.6935453,0.31918684
335.62,0,1,3,9,12,29,4,0,1,0,0,0,0,0,2,2,3.6555898,-1.9804512,1.9747628,2.7038012,-0.35938865
220.29,0,1,1,5,8,16,5,0,0,0,0,0,0,0,2,3,1.0383914,-1.9283001,1.5328776,0.31334546,13.758165
248.42,0,1,2,6,9,20,4,0,0,0,0,0,0,0,2,2,2.689044,-1.1998479,1.7776126,0.8946698,1.1908551
316.54,0,0,2,6,14,28,4,0,0,0,0,0,0,0,2,2,4.044974,-2.2696006,1.2034218,2.7163522,6.22219
308.64,0,1,3,9,12,32,3,0,0,0,0,0,0,0,0,3,4.789035,0.40462446,0.3848564,2.771089,1.5907081
220.46,0,1,2,7,9,24,2,0,0,0,0,0,0,1,0,2,4.188308,0.17742348,0.9651613,3.3192136,0.7795694
304.61,0,1,2,11,15,36,2,0,0,0,0,0,0,0,0,2,5.98401,0.7890011,0.9018001,3.3725717,0.12991501
322.66,0,1,3,10,13,34,3,0,0,0,0,0,0,2,0,3,5.043798,0.40402544,0.49125955,3.2699113,0.3579345
434.9,0,1,3,15,21,50,3,0,0,0,0,0,0,0,0,3,8.243711,1.2410445,0.8075248,2.9530818,-0.05576748
234.48,0,1,2,8,10,26,2,0,0,0,0,0,0,2,0,2,4.554042,0.47988904,1.0139078,3.3578694,0.51943344
292.64,0,1,3,9,12,32,2,0,0,0,0,0,0,1,0,2,5.4302454,0.8381803,0.87963516,3.470134,0.51549757
250.48,0,1,2,10,10,26,3,0,0,0,0,0,0,1,0,3,3.5982852,-0.7449918,0.51711875,1.7079563,6.8244224
294.61,0,1,3,9,11,30,3,0,0,0,0,0,0,1,0,2,4.976319,0.6701417,0.8925111,3.8729603,-0.3395824
402.8,0,1,2,8,22,50,2,0,0,0,0,0,0,0,0,2,9.714374,2.0219874,0.6858943,1.892686,0.68835473
290.59,0,1,2,7,14,34,2,0,0,0,0,0,0,1,0,2,5.5874114,0.72466207,0.90458983,3.9793375,0.6845733
276.56,0,1,2,8,13,32,2,0,0,0,0,0,0,1,0,2,5.3089905,0.66058767,0.7067434,3.7951562,0.21850449
276.56,0,1,2,8,13,32,2,0,0,0,0,0,0,2,0,2,5.306953,0.6286944,0.98259354,3.553632,-0.18736511
434.9,0,1,3,9,21,50,3,0,0,0,0,0,0,0,0,3,8.796801,1.4515854,0.8520027,3.322404,0.6167244
561.1,0,1,3,9,30,68,3,0,0,0,0,0,0,0,0,3,11.86626,1.5703536,0.56513715,1.0201745,1.64777
304.61,0,1,2,9,15,36,2,0,0,0,0,0,0,0,0,2,5.958632,0.7827587,0.8861408,4.050706,0.78218865
322.66,0,1,3,11,13,34,3,0,0,0,0,0,0,1,0,3,5.094848,0.47266853,0.88705665,3.4817827,0.83385307
336.69,0,1,3,10,14,36,3,0,0,0,0,0,0,2,0,3,5.2992477,0.4688276,0.8962029,3.8501785,0.22632156
